ticker,cur,pxusd,tier,nS,sumS,sqS,nC,sumC,sqC
0001.HK,HKD,9.34,small,31,-30.171,54.647,671,-100.242,1058.311
0027.HK,HKD,4.19,micro,16,6.670,44.030,662,-258.233,1078.314
0011.HK,,,skip,0,0,0,0,0,0
1113.HK,HKD,5.98,small,9,7.535,17.106,248,-60.645,396.579
2382.HK,HKD,7.52,small,11,-8.258,12.211,460,-73.943,679.291
0175.HK,HKD,2.35,micro,40,-31.423,49.700,526,-212.046,748.056
9618.HK,HKD,16.25,small,0,0.000,0.000,119,31.216,261.915
3988.HK,HKD,0.67,micro,26,-39.689,101.783,485,-527.160,1332.500
2628.HK,HKD,3.67,micro,15,-2.009,10.257,554,-160.512,909.326
2020.HK,HKD,9.50,small,10,-8.864,12.294,459,-55.994,631.869
0688.HK,HKD,1.68,micro,12,-11.696,29.988,660,-500.666,1307.495
1211.HK,HKD,11.49,small,21,-5.375,31.332,589,-87.609,971.034
2269.HK,HKD,5.85,small,7,-7.663,8.393,227,-75.065,310.744
1177.HK,HKD,0.65,micro,17,-14.196,27.141,529,-359.880,857.306
0386.HK,HKD,0.56,micro,18,-16.502,41.768,652,-493.113,1372.293
0857.HK,HKD,1.21,micro,16,-4.829,49.831,630,-556.974,1510.346
2331.HK,HKD,1.85,micro,19,-27.699,41.196,542,-316.232,917.143
0968.HK,HKD,0.31,micro,14,-10.977,23.214,296,-154.630,478.294
1928.HK,HKD,1.81,micro,7,5.914,18.127,406,-215.962,744.187
0762.HK,HKD,0.82,micro,32,-43.923,91.595,638,-420.315,1332.682
2007.HK,HKD,0.02,micro,32,-22.253,48.511,452,-207.649,893.631
1088.HK,HKD,5.48,small,2,4.002,8.917,523,-137.817,731.697
3968.HK,HKD,6.21,small,11,3.614,11.474,474,-71.167,751.672
0883.HK,HKD,2.97,micro,12,-14.295,18.057,547,-202.002,945.762
2313.HK,HKD,5.46,small,11,-12.111,13.338,498,-126.779,618.375
0288.HK,HKD,1.02,micro,6,5.191,10.845,302,-258.368,579.432
1044.HK,HKD,3.02,micro,19,-11.946,25.929,639,-305.251,975.444
6862.HK,HKD,1.44,micro,5,-0.870,3.673,173,-70.693,276.328
9633.HK,HKD,5.39,small,2,3.229,5.245,142,-9.270,211.007
0669.HK,HKD,18.69,small,7,-3.626,4.659,529,-127.717,717.617
2688.HK,HKD,5.89,small,20,-20.871,25.751,640,-130.115,881.164
BHP.AX,AUD,44.52,mid,143,-376.508,4004.241,880,-551.189,6637.110
CBA.AX,AUD,125.86,large,42,-2.507,69.497,821,-410.392,2691.053
CSL.AX,AUD,93.47,mid,12,-9.005,11.055,794,-184.736,1739.027
NAB.AX,AUD,29.86,mid,117,-319.562,3461.430,884,-548.259,8867.688
