ticker,tier,nS,sumS,sqS,nC,sumC,sqC
ICICIBANK.NS,large,8,-4.471,16.137,600,-189.227,755.209
BHARTIARTL.NS,large,3,-2.474,2.399,583,-154.412,667.443
SBIN.NS,large,29,-11.351,49.692,773,-143.521,1124.325
LT.NS,large,13,-12.366,13.131,593,-121.652,911.402
ITC.NS,large,8,2.432,10.524,755,-175.894,948.913
HINDUNILVR.NS,large,18,-8.473,13.261,777,-128.638,1098.908
BAJFINANCE.NS,large,15,-9.272,13.166,597,-171.608,780.676
KOTAKBANK.NS,large,6,1.388,19.186,603,-190.288,737.424
AXISBANK.NS,large,12,5.511,34.603,704,-183.431,915.012
ASIANPAINT.NS,large,18,-15.002,19.143,591,-205.370,814.133
MARUTI.NS,large,10,-4.728,16.555,553,-126.097,794.818
SUNPHARMA.NS,large,11,-7.842,12.342,778,-243.835,1032.156
TITAN.NS,large,17,-8.561,30.008,755,-221.493,1024.232
WIPRO.NS,large,43,31.878,122.092,774,-136.053,1107.273
ONGC.NS,large,18,-1.493,32.603,766,-152.397,1037.607
NTPC.NS,large,11,-1.620,12.039,526,-94.398,612.691
005930.KS,large,22,-1.267,34.949,654,-167.199,902.723
000660.KS,large,34,-14.212,47.024,686,-64.411,1092.814
373220.KS,large,0,0.000,0.000,92,-3.506,112.239
207940.KS,large,4,0.461,10.926,214,-16.310,321.679
005380.KS,large,17,12.431,37.709,661,-137.344,864.797
051910.KS,large,17,1.186,13.911,611,-64.621,879.373
006400.KS,large,40,-20.869,36.004,677,-107.898,985.010
035420.KS,large,6,-3.906,7.290,567,-111.146,656.355
000270.KS,large,28,0.186,46.742,664,-106.307,973.784
068270.KS,large,17,-5.143,20.439,513,-80.065,659.050
105560.KS,large,81,-62.759,389.558,528,-134.517,922.871
055550.KS,large,7,11.818,33.374,661,-130.684,808.007
012330.KS,large,17,-1.773,23.475,657,-222.547,799.800
028260.KS,large,10,-0.893,6.105,268,-59.559,319.391
2330.TW,large,14,2.842,18.996,668,-186.584,955.684
2317.TW,large,36,3.254,89.452,844,-189.215,1370.414
2454.TW,large,24,10.235,45.309,602,-47.401,1061.038
2308.TW,large,21,-14.431,26.415,669,-128.134,980.184
2382.TW,large,16,-13.764,17.998,662,-98.060,1120.072
2412.TW,large,13,13.216,49.764,619,-288.508,791.885
2881.TW,large,17,1.642,40.752,620,-170.571,864.040
2882.TW,mid,13,0.959,25.665,636,-67.164,1011.327
3711.TW,large,14,-2.801,37.802,674,-108.917,1129.193
1301.TW,mid,18,-5.739,22.004,658,-107.103,1052.192
2303.TW,large,23,1.609,31.360,652,-49.790,1128.340
2886.TW,mid,20,-7.406,17.226,650,-142.439,986.755
2891.TW,mid,5,-0.830,1.814,587,-134.018,912.951
3008.TW,large,30,9.366,45.612,604,-78.929,942.161
PETR4.SA,mid,34,-18.678,33.666,664,-99.403,1074.396
VALE3.SA,mid,10,-4.237,12.350,659,-110.494,977.914
ITUB4.SA,mid,18,4.121,25.092,653,-155.604,887.374
BBDC4.SA,small,40,-25.716,55.894,427,-58.452,613.648
B3SA3.SA,small,11,-10.215,12.188,474,-107.429,632.201
ABEV3.SA,small,23,-10.136,39.761,653,-229.378,939.291
WEGE3.SA,mid,26,-50.244,206.595,566,-308.542,5920.493
RENT3.SA,mid,1,-1.059,1.121,504,-117.822,604.610
BBAS3.SA,mid,15,-2.206,19.734,662,-107.512,1008.667
PRIO3.SA,mid,30,13.453,49.246,377,-38.768,587.966
ITSA4.SA,small,10,-2.346,7.874,672,-282.431,866.533
SUZB3.SA,mid,6,-3.065,1.956,226,-16.810,307.682
JBSS3.SA,skip,0,0,0,0,0,0
RADL3.SA,mid,68,-183.562,1811.601,527,-175.925,1737.391
NPN.JO,large,29,-27.987,30.531,676,-135.800,1029.213
PRX.JO,large,4,-4.107,4.218,163,-34.691,208.388
FSR.JO,large,1,0.403,0.163,674,-182.093,848.881
SBK.JO,large,2,-0.213,0.030,681,-165.241,855.910
ABG.JO,large,10,-8.841,9.141,669,-179.327,776.243
MTN.JO,large,12,-0.593,25.673,681,-164.769,887.511
CFR.JO,large,0,0.000,0.000,62,-14.071,106.905
AGL.JO,large,10,-9.239,9.850,677,-93.193,1078.874
BTI.JO,large,21,-6.847,12.128,678,-241.430,892.090
SOL.JO,large,27,21.844,73.422,692,-97.680,955.512
SHP.JO,large,11,-6.610,18.648,656,-170.694,795.698
GFI.JO,large,19,1.504,31.990,678,-55.368,1076.587
ANG.JO,large,43,19.596,91.000,694,-115.762,1040.141
IMP.JO,large,24,-15.071,26.621,664,-30.944,980.047
VOD.JO,large,4,2.206,5.459,593,-132.149,706.227
D05.SI,mid,20,-8.924,17.233,656,-208.330,976.128
O39.SI,mid,15,-10.528,14.600,671,-209.768,1021.680
U11.SI,mid,20,-8.552,34.005,697,-180.822,1057.537
Z74.SI,micro,6,-8.055,10.815,527,-322.101,927.383
C6L.SI,small,17,-12.090,15.289,666,-222.408,1066.655
F34.SI,micro,14,-5.852,22.890,491,-312.433,865.369
C38U.SI,micro,19,17.664,39.059,480,-286.144,717.482
A17U.SI,micro,6,-3.479,5.552,507,-324.244,842.925
