ticker,tier,nS,sumS,sqS,nC,sumC,sqC
ITRG,micro,0,0.000,0.000,112,-2.900,141.925
TWI,small,45,-0.023,66.502,851,-121.629,1472.575
BMBL,micro,26,22.819,63.414,125,-23.871,187.158
LXFR,small,23,6.874,35.259,314,-43.550,445.383
MGMNF,skip,0,0,0,0,0,0
FSTR,mid,53,-4.020,99.235,1142,-99.856,1533.825
OFIX,small,48,-1.545,58.314,872,-203.227,1247.177
GLAD,small,13,0.423,13.048,587,-57.235,921.050
CRNC,small,5,-5.461,5.968,179,-40.342,244.646
ASPN,small,17,1.866,30.900,279,-42.920,405.989
MFI,small,0,0.000,0.000,39,-11.356,30.007
VKI,small,59,-44.779,102.790,848,-423.432,1592.022
VRNO,small,3,4.761,17.944,103,-3.878,82.780
SCGX,small,56,33.405,259.112,216,-136.479,8256.587
AVIR,small,1,1.430,2.045,117,-19.945,159.980
MYN,small,50,-26.609,81.111,868,-483.921,1639.841
AEF,small,80,16.991,165.853,937,-126.720,1938.000
UPB,small,0,0.000,0.000,19,-8.398,15.625
AVBH,mid,118,-55.383,381.416,530,-294.580,2702.342
HCIC,skip,0,0,0,0,0,0
LAND,small,11,-0.975,16.603,334,-31.451,521.030
SORN,skip,0,0,0,0,0,0
CMPX,micro,6,-1.408,6.081,127,-31.027,133.796
VOXR,small,0,0.000,0.000,118,-41.514,136.222
ZUMZ,mid,17,-12.214,17.838,521,-100.455,706.627
XNET,small,12,5.634,19.104,306,-23.386,432.640
GASS,small,14,7.909,43.988,497,-86.325,698.745
ATII,small,0,0.000,0.000,19,-7.915,25.241
FDBC,mid,77,34.329,231.580,684,-194.320,1929.646
SAR,mid,43,-4.779,32.225,461,-107.486,636.986
VHCP,skip,0,0,0,0,0,0
EFTY,small,0,0.000,0.000,0,0.000,0.000
YSG,micro,19,-20.993,23.203,130,21.382,183.708
BKTI,mid,52,23.939,116.587,1168,-57.575,1511.506
ADAC,skip,0,0,0,0,0,0
BPRN,mid,7,-2.940,9.226,235,-79.376,251.124
CDPMF,micro,8,9.467,23.212,129,-120.930,2700.787
CFFI,mid,6,-6.397,6.823,680,-152.534,929.500
TRDA,small,2,-2.174,2.364,104,-13.085,132.069
TDRRF,micro,70,-141.085,858.768,266,-411.713,26625.465
VRXA,micro,0,0.000,0.000,25,-243.353,4049.815
NTPIF,micro,42,-1.133,58.173,868,-158.190,1438.296
ERC,small,28,-14.091,26.337,577,-278.249,1074.158
SUJA,skip,0,0,0,0,0,0
SNFCA,small,40,-16.607,94.842,984,-338.679,1407.557
LX,micro,0,0.000,0.000,191,-23.717,301.418
NAGE,micro,20,10.364,42.317,460,-74.876,570.417
SMRT,micro,5,0.316,5.143,118,-43.063,162.713
TII,micro,2,-2.444,2.987,104,-18.998,223.628
CHRS,micro,26,-16.234,50.038,273,-73.714,425.399
KISB,mid,106,22.974,395.654,604,-340.864,2498.136
FUFU,micro,3,-1.770,4.092,107,-1462.586,143980.456
ANTX,small,16,2.129,28.475,77,-17.370,96.181
TDAC,small,0,0.000,0.000,16,-60.921,327.957
QMLS,skip,0,0,0,0,0,0
EAF,small,14,3.042,18.589,198,23.699,321.962
EGAN,small,36,12.323,60.505,674,-99.420,898.847
HUMA,micro,13,-0.734,11.984,134,-32.603,189.531
FINW,small,0,0.000,0.000,82,2.642,128.548
VYGR,micro,10,-11.840,14.026,255,-41.615,321.396
ACOG,small,1,0.525,0.276,17,-3.306,15.691
TNXP,small,40,26.914,132.488,350,32.823,559.158
FLC,small,41,-10.961,66.540,577,-109.942,990.799
APYX,micro,11,-0.898,7.722,169,-32.124,193.793
SHIM,micro,5,2.641,3.765,48,-12.899,56.684
WW,small,2,1.756,1.953,8,-4.938,7.154
ABOS,micro,25,-3.070,33.924,111,1.748,157.558
HOFT,small,33,-2.385,40.333,604,-120.099,766.526
AXREF,micro,54,48.769,177.771,459,-207.913,1188.604
DLTH,micro,7,1.312,19.543,255,-34.262,349.590
NINE,skip,0,0,0,0,0,0
YCY,skip,0,0,0,0,0,0
CNTN,micro,4,-0.984,4.871,104,-25.019,138.363
SRBK,mid,0,0.000,0.000,59,-38.734,75.108
NYXH,micro,7,-6.743,8.925,118,0.312,192.790
UAC,skip,0,0,0,0,0,0
PLBY,micro,5,-5.969,7.128,115,-15.305,169.160
CAAS,micro,30,-4.404,45.537,576,-74.725,768.414
TTEC,micro,37,3.008,60.335,750,-175.371,1244.851
IPEX,small,0,0.000,0.000,20,-82.273,386.786
VNJA,micro,63,-1054.353,77305.237,102,-296.298,12854.376
DMO,small,10,4.014,19.623,411,-176.150,641.525
ELRE,micro,121,-65.010,275.352,236,-74.646,2013.804
THRY,micro,40,-30.193,52.137,167,-18.396,290.664
SBI,small,22,-16.445,23.983,877,-453.894,1284.388
FLNT,micro,15,4.897,32.413,445,-102.359,776.873
NOEM,small,0,0.000,0.000,23,-80.157,318.794
PBHC,small,81,8.718,281.828,750,-177.280,2112.871
FATN,small,5,-5.216,5.442,11,-5.011,7.138
ALDX,micro,23,-8.270,35.933,301,-120.909,423.762
BNR,small,6,-6.289,6.592,131,37.262,176.166
ORRCF,micro,61,17.741,186.480,339,-107.032,743.453
NUVR,small,74,50.252,299.231,622,-168.099,3197.806
ARQ,micro,41,-15.705,48.651,572,-50.312,963.327
SLNG,micro,24,-4.997,31.657,465,-161.788,579.207
MAIA,micro,5,-6.303,7.946,73,-33.058,80.472
VMXXF,micro,18,-66.831,550.770,46,-32.780,363.041
NEXM,micro,85,-24.125,270.124,417,-76.544,890.584
HLEO,skip,0,0,0,0,0,0
HANNF,micro,0,0.000,0.000,106,-30.959,110.021
TISI,small,99,18.392,236.612,1156,-80.702,1894.678
RTGN,micro,14,-17.479,21.822,22,-138.241,5889.102
AIRG,small,14,4.412,23.309,229,-6.072,336.284
