claim,source,journal,year,category,definition,testable,data_needed,meta
Idiosyncratic volatility,Fama and MacBeth (1973),Journal of Political Economy,,risk/vol,Residual stock volatility from CAPM,yes,OHLCV 33y + 1m intraday,HLZ
Earnings growth expectations,Ofer (1975),Journal of Finance,1975,risk/vol,"Projecting firm earnings growth based on market beta, firm size, dividend payout ratio, leverage and earnings variability",yes,OHLCV 33y + 1m intraday,HLZ
PE ratio,Basu (1977),Journal of Finance,1977,price,Firm price-to-earnings ratio,yes,OHLCV 33y + 1m intraday,HLZ
Dividend yield,Litzenberger and Ramaswamy (1979),Journal of Financial Economics,1979,price,Dividend per share divided by share price,yes,OHLCV 33y + 1m intraday,HLZ
Firm size,Banz (1981),Journal of Financial Economics,1981,other,Market value of firm stocks,unknown,,HLZ
Short interest,Figlewski (1981),Journal of Financial and Quantitative Analysis,1981,positioning/flow,Equity short interest,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
EP ratio,Basu (1983),Journal of Financial Economics,1983,price,Firm earnings-to-price ratio,yes,OHLCV 33y + 1m intraday,HLZ
Long-term return reversal,De Bondt and Thaler (1985),Journal of Finance,1985,price,Long-term past abnormal return,yes,OHLCV 33y + 1m intraday,HLZ
Debt to equity ratio,Bhandari (1988),Journal of Finance,1988,fundamental,Non-common equity liabilities to equity,no-data,needs paid fundamentals depth,HLZ
Illiquidity,Amihud and Mendelson (1989),Journal of Finance,1989,microstructure,Illiquidity proxied by bid-ask spread,partial,"volume/range only, no L2",HLZ
Predicted earnings change,Ou and Penman (1989),Journal of Accounting & Economics,1989,fundamental,Predicted earnings change in one year based on a financial statement analysis that combines a large set of financial statement items,no-data,needs paid fundamentals depth,HLZ
Return predictability,Jegadeesh (1990),Journal of Finance,1990,price,Short-term (one month) and long-term (twelve months) serial correlations in returns,yes,OHLCV 33y + 1m intraday,HLZ
Return momentum,Jegadeesh and Titman (1993),Journal of Finance,1993,price,Past stock returns,yes,OHLCV 33y + 1m intraday,HLZ
New public stock issuance,Loughran and Ritter (1995),Journal of Finance,1995,fundamental,New public stock issuance,no-data,needs paid fundamentals depth,HLZ
Dividend initiations,"Michaely, Thaler and Womack (1995)",Journal of Finance,1995,fundamental,Initiations of cash dividend payments,no-data,needs paid fundamentals depth,HLZ
Dividend omissions,"Michaely, Thaler and Womack (1995)",Journal of Finance,,fundamental,Omissions of cash dividend payments,no-data,needs paid fundamentals depth,HLZ
Earnings forecast,La Porta (1996),Journal of Finance,1996,positioning/flow,Errors in analysts' forecasts on earnings growth,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
R&D capital,Lev and Sougiannis (1996),Journal of Accounting & Economics,1996,fundamental,R&D capital over total assets,no-data,needs paid fundamentals depth,HLZ
Accruals,Sloan (1996),Accounting Review,1996,fundamental,"Accruals defined by the change in non-cash current assets, less the change in current liabilities, less depreciation expense, all divided by average total assets",no-data,needs paid fundamentals depth,HLZ
Buy recommendations,Womack (1996),Journal of Finance,1996,positioning/flow,Buy recommendations from security analysts,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Sell recommendations,Womack (1996),Journal of Finance,,positioning/flow,Sell recommendations from security analysts,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Trading volume,"Brennan, Chordia and Subrahmanyam (1997)",Journal of Financial Economics,,microstructure,Dollar volume traded per month,partial,"volume/range only, no L2",HLZ
Bankruptcy risk,Ilia (1998),Journal of Finance,1998,other,The probability of bankruptcy from Altman (1968),unknown,,HLZ
Illiquidity,"Datar, Naik and Radcliffe (1998)",Journal of Financial Markets,1998,microstructure,Liquidity proxied by the turnover rate: number of shares traded as a fraction of the number of shares outstanding,partial,"volume/range only, no L2",HLZ
Industry momentum,Moskowitz and Grinblatt (1999),Journal of Finance,1999,price,Industry-wide momentum returns,yes,OHLCV 33y + 1m intraday,HLZ
Trading volume,Lee and Swaminathan (2000),Journal of Finance,2000,microstructure,Past trading volume,partial,"volume/range only, no L2",HLZ
Within-industry percent change in employees,"Asness, Porter and Stevens (2000)",Working Paper,2000,other,Difference between firm percent change in employees and average percent change in employees within the industry,unknown,,HLZ
Financial statement information,Piotroski (2000),Journal of Accounting Research,2000,other,A composite score based on historical financial statement that separates winners from losers,unknown,,HLZ
Level of liquidity,"Chordia, Subrahmanyam and Anshuman (2001)",Journal of Financial Economics,2001,microstructure,Level of dollar trading volume and share turnover,partial,"volume/range only, no L2",HLZ
Variability of liquidity,"Chordia, Subrahmanyam and Anshuman (2001)",Journal of Financial Economics,,risk/vol,Volatility of dollar trading volume and share turnover,yes,OHLCV 33y + 1m intraday,HLZ
Financial constraints,"Lamont, Polk and Saa-Requejo (2001)",Review of Financial Studies,2001,other,Measure financial constraints with Kaplan and Zingales (1997) index,unknown,,HLZ
Bond rating changes,Dichev and Piotroski (2001),Journal of Finance,2001,other,Moody's bond ratings changes,unknown,,HLZ
Analysts' forecasts,"Pieter, Lo and Pfeiffer (2011)",Accounting Review,2001,positioning/flow,Financial analysts' forecasts of annual earnings,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Institutional ownership,Gompers and Metrick (2001),Quarterly Journal of Economics,2001,positioning/flow,Institutional holdings of firm assets,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Distress risk,Griffin and Lemmon (2002),Journal of Finance,2002,other,Distress risk as proxied by Ohlson's O-score,unknown,,HLZ
Analyst dispersion,"Diether, Malloy and Scherbina (2002)",Journal of Finance,2002,positioning/flow,Dispersion in analysts' earnings forecasts,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Breadth of ownership,"Chen, Hong and Stein (2002)",Journal of Financial Economics,2002,positioning/flow,Ratio of the number of mutual funds holding long positions in the stock to total number of mutual funds,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Shareholder rights,"Gompers, Ishii and Metrick (2003)",Quarterly Journal of Economics,2003,other,Shareholder rights as proxied by an index using 24 governance rules,unknown,,HLZ
Excluded expenses,"Jeffrey, Lundholm and Soliman (2003)",Review of Accounting Studies,2003,fundamental,Excluded expenses in firm's earnings reports,no-data,needs paid fundamentals depth,HLZ
Growth in long-term net operating assets,"Fairfield, Whisenant and Yohn (2003)",Accounting Review,2003,macro,Growth in long-term net operating assets,partial,Yahoo proxies (FRED blocked),HLZ
Return consistency,Watkins (2003),Journal of Behavioral Finance,2003,price,Consecutive returns with the same sign,yes,OHLCV 33y + 1m intraday,HLZ
Unexpected change in R&D,"Allan, Maxwell and Siddique (2004)",Journal of Finance,2004,fundamental,Unexpected change in firm research and expenditures,no-data,needs paid fundamentals depth,HLZ
52-week high,George and Hwang (2004),Journal of Finance,2004,price,Nearness to the 52-week high price,yes,OHLCV 33y + 1m intraday,HLZ
Analysts' recommendations,"Jegadeesh, Kim, Krische and Lee (2004)",Journal of Finance,2004,positioning/flow,Consensus analysts' recommendations from sell-side firms,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Abnormal capital investment,"Titman, Wei and Xie (2004)",Journal of Financial and Quantitative Analysis,2004,fundamental,Past year capital expenditures scaled by average capital expenditures for previous three years,no-data,needs paid fundamentals depth,HLZ
External corporate governance,Cremers and Nair (2005),Journal of Finance,2005,other,Proxies for corporate control,unknown,,HLZ
Internal corporate governance,Cremers and Nair (2005),Journal of Finance,,other,Proxies for share-holder activism,unknown,,HLZ
Individual stock liquidity,Acharya and Pedersen (2005),Journal of Financial Economics,,microstructure,Individual stock illiquidity as defined in Amihud (2002),partial,"volume/range only, no L2",HLZ
Price delay,Hou and Moskowitz (2005),Review of Financial Studies,2005,price,Delay in a stock price's response to information,yes,OHLCV 33y + 1m intraday,HLZ
Heterogeneous beliefs,"Anderson, Ghysels and Juergens (2005)",Review of Financial Studies,2005,positioning/flow,Factors constructed from disagreement among analysts about expected short- and long-term earnings,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Short-sale constraints,Nagel (2005),Journal of Financial Economics,2005,positioning/flow,Short-sale constraint proxied by Institutional ownership,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Short-sale constraints,"Asquith, Pathak and Ritter (2005)",Journal of Financial Economics,2005,positioning/flow,Short-sale constraint proxied by short interest and institutional ownership,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Growth index,Mohanram (2005),Review of Accounting Studies,2005,positioning/flow,"A combined index constructed based on earnings, cash flows, earnings stability, growth stability and intensity of R&D, capital expenditure and advertising",partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Financial constraints,Whited and Wu (2006),Review of Financial Studies,2006,fundamental,Constraint index estimated from a firm's investment Euler equation,no-data,needs paid fundamentals depth,HLZ
idiosyncratic volatility,"Ang, Hodrick, Xing and Zhang (2006)",Journal of Finance,,risk/vol,Idiosyncratic volatility relative to Fama and French (1992) three-factor model,yes,OHLCV 33y + 1m intraday,HLZ
Capital investment,Anderson and Garcia-Feijoo (2006),Journal of Finance,2006,fundamental,Capital expenditure growth,no-data,needs paid fundamentals depth,HLZ
Industry concentration,Hou and Robinson (2006),Journal of Finance,2006,other,Industry concentration as proxied by the Herfindahl index,unknown,,HLZ
Intangible information,Daniel and Titman (2006),Journal of Finance,2006,price,Residuals from cross-sectional regression of firm returns on fundamental growth measures,yes,OHLCV 33y + 1m intraday,HLZ
Profitability,Fama and French (2006),Journal of Financial Economics,2006,fundamental,Expected earnings growth,no-data,needs paid fundamentals depth,HLZ
Investment,Fama and French (2006),Journal of Financial Economics,,fundamental,Expected growth in book equity,no-data,needs paid fundamentals depth,HLZ
Net financing,"Bradshaw, Richardson and Sloan (2006)",Journal of Accounting and Economics,2006,positioning/flow,Net amount of cash flow received from external financing,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Pension plan funding,Franzoni and Marin (2006),Journal of Finance,2006,other,"Pension plan funding status calculated as the difference between the fair value of plan assets and the projected benefit obligation, divided by market capitalization",unknown,,HLZ
Unexpected earnings' autocorrelations,Narayanamoorthy (2006),Journal of Accounting Research,,fundamental,Standardized unexpected earnings' autocorrelations via the sign of the most recent earnings realization,no-data,needs paid fundamentals depth,HLZ
Credit rating,"Avramov, Chordia, Jostova and Philipov (2007)",Journal of Finance,2007,macro,S&P firm credit rating,partial,Yahoo proxies (FRED blocked),HLZ
Firm age,"Kumar, Sorescu, Boehme and Danielsen (2008)",Review of Financial Studies,,other,Firm's public listing age,unknown,,HLZ
Interaction between market volatility and firm age,"Kumar, Sorescu, Boehme and Danielsen (2008)",Review of Financial Studies,,risk/vol,Product of market volatility and firm age,yes,OHLCV 33y + 1m intraday,HLZ
Country-level idiosyncratic volatility,Guo and Savickas (2008),Review of Financial Studies,2008,risk/vol,Weighted average of variances and auto-covariances of firm-level idiosyncratic return shocks,yes,OHLCV 33y + 1m intraday,HLZ
Distress,"Campbell, Hilscher and Szilagyi (2008)",Journal of Finance,2008,other,Distressed firm failure probability estimated based on a dynamic logit model,unknown,,HLZ
Shareholder advantage,"Garlappi, Shu and Yan (2008)",Review of Financial Studies,2008,other,Benefits from renegotiation upon default,unknown,,HLZ
Interaction between shareholder advantage and implied market value of assets,"Garlappi, Shu and Yan (2008)",Review of Financial Studies,,options,Implied market value of assets provided by Moody's KMV,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Asset growth,"Cooper, Gulen and Schill (2008)",Journal of Finance,2008,fundamental,Year-on-year percentage change in total assets,no-data,needs paid fundamentals depth,HLZ
Share issuance,Pontiff and Woodgate (2008),Journal of Finance,2008,fundamental,Annual share issuance based on adjusted shares,no-data,needs paid fundamentals depth,HLZ
Firm economic links,Cohen and Frazzini (2008),Journal of Finance,2008,price,Economic links proxied by return of a portfolio of its major customers,yes,OHLCV 33y + 1m intraday,HLZ
Sin stock,"Frank, Ma and Oliphant (2008)",Financial Analyst Journal,2008,other,"Stocks in the industry of adult services, alcohol, defense, gaming, medical and tobacco",unknown,,HLZ
Investor recognition,Lehavy and Sloan (2008),Review of Accounting Studies,2008,positioning/flow,Investor recognition proxied by the change in the breadth of institutional ownership,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
DuPont analysis,Soliman (2008),Accounting Review,2008,fundamental,Sales over net operating assets in DuPont analysis,no-data,needs paid fundamentals depth,HLZ
Financial distress,"Avramov, Chordia, Jostova and Philipov (2009)",Journal of Financial Economics,2009,macro,Credit rating downgrades,partial,Yahoo proxies (FRED blocked),HLZ
Idiosyncratic volatility,Fu (2009),Journal of Financial Economics,2009,risk/vol,Conditional expected idiosyncratic volatility estimated from a GARCH model,yes,OHLCV 33y + 1m intraday,HLZ
Debt capacity,Hahn and Lee (2009),Journal of Finance,2009,fundamental,Firm tangibility as in Almeida and Campello (2007),no-data,needs paid fundamentals depth,HLZ
Productivity of cash,Chandrashekar and Rao (2009),Working Paper,2009,other,Net present value of all firm's present and future projects generated per dollar of cash holdings,unknown,,HLZ
Advertising,Chemmanur and Yan (2009),Working Paper,2009,other,Change in expenditures on advertising,unknown,,HLZ
Earnings volatility,Gow and Taylor (2009),Working Paper,2009,risk/vol,Earnings volatility,yes,OHLCV 33y + 1m intraday,HLZ
Efficiency score,Nguyen and Swanson (2009),Journal of Financial and Quantitative Analysis,2009,other,Firm efficiency/inefficiency estimated from firm characteristics based on a stochastic frontier approach,unknown,,HLZ
Real estate holdings,Tuzel (2010),Review of Financial Studies,2010,other,"Real estate to total property, plant and equipment",unknown,,HLZ
Related industry returns,Menzly and Ozbas (2010),Journal of Finance,2010,options,Stock returns from economically related supplier and customer industries,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Volatility smirk,"Xing, Zhang and Zhao (2010)",Journal of Financial and Quantitative Analysis,2010,risk/vol,Steepness in individual option volatility smirk,yes,OHLCV 33y + 1m intraday,HLZ
R&D investment,Li (2011),Review of Financial Studies,2011,fundamental,Firm's investment in research and development,no-data,needs paid fundamentals depth,HLZ
Extreme stock returns,"Bali, Cakici and Whitelaw (2011)",Journal of Financial Economics,2011,price,Portfolios sorted based on extreme past returns,yes,OHLCV 33y + 1m intraday,HLZ
Jumps in individual stock returns,Yan (2011),Journal of Financial Economics,2011,risk/vol,Average jump size proxied by slope of option implied volatility smile,yes,OHLCV 33y + 1m intraday,HLZ
Organizational capital,Eisfeldt and Papanikolaou (2011),Working Paper,2011,other,"Directly measured using Selling, General and Administrative expenditures",unknown,,HLZ
Non-accounting information quality,"Callen, Khan and Lu (2011)",Contemporary Accounting Research,2011,price,Average delay with which non-accounting information is impounded into stock price,yes,OHLCV 33y + 1m intraday,HLZ
Accounting information quality,"Callen, Khan and Lu (2011)",Contemporary Accounting Research,,price,Average delay with which accounting information is impounded into stock price,yes,OHLCV 33y + 1m intraday,HLZ
Short interest,Michael and Rees (2011),Accounting Review,2011,positioning/flow,Short interest from short sellers,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Percent total accrual,"Hafzalla, Lundholm and Van Winkle (2007)",Accounting Review,2011,fundamental,Firm accruals scaled by earnings,no-data,needs paid fundamentals depth,HLZ
Really dirty surplus,"Landsman, Miller, Peasnell and Shu (2011)",Accounting Review,2011,other,Really dirty surplus that happens when a firm issues or reacquires its own shares in a transaction that does not record the shares at fair market value,unknown,,HLZ
Earnings forecast,Li (2011),Review of Accounting Studies,2011,fundamental,Earnings forecast based on firm fundamentals,no-data,needs paid fundamentals depth,HLZ
Tax expense surprises,Thomas and Zhang (2011),Journal of Accounting Research,2011,fundamental,Seasonally differenced quarterly tax expense,no-data,needs paid fundamentals depth,HLZ
Option to stock volume ratio,Johnson and So (2012),Journal of Financial Economics,2012,options,Option volume divided by stock volume,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Cash holdings,Palazzo (2012),Journal of Financial Economics,2012,other,Firm cash holdings,unknown,,HLZ
Firm hiring rate,"Bazdresch, Belo and Lin (2012)",Working Paper,2012,other,Firm hiring rate measured by the change in the number of employees over the average number of employees,unknown,,HLZ
Information processing complexity,Cohen and Lou (2012),Journal of Financial Economics,2012,price,Past return for paired pseudo-conglomerates,yes,OHLCV 33y + 1m intraday,HLZ
Innovative efficiency,"Hirshleifer, Hsu and Li (2012)",Journal of Financial Economics,2012,other,Patents/citations scaled by research and development expenditures,unknown,,HLZ
Deferred revenues,Prakash and Sinha (2012),Contemporary Accounting Research,2012,fundamental,Changes in the current deferred revenue liability,no-data,needs paid fundamentals depth,HLZ
Firm's ability to innovate,"Cohen, Diether and Malloy (2013)",Review of Financial Studies,2013,fundamental,Rolling firm-by-firm regressions of firm-level sales growth on lagged R&D,no-data,needs paid fundamentals depth,HLZ
Gross profitability,Novy-Marx (2013),Journal of Financial Economics,2013,fundamental,Gross profits to assets,no-data,needs paid fundamentals depth,HLZ
Betting-against-beta,Frazzini and Pedersen (2013),Working Paper,2013,risk/vol,Long leveraged low-beta assets and short high-beta assets,yes,OHLCV 33y + 1m intraday,HLZ
Secured debt,Valta (2013),Working Paper,2013,fundamental,Proportion of secured to total debt,no-data,needs paid fundamentals depth,HLZ
Convertible debt,Valta (2013),Working Paper,,fundamental,Proportion of convertible to total debt,no-data,needs paid fundamentals depth,HLZ
Convertible debt indicator,Valta (2013),Working Paper,,fundamental,Dummy variable indicating whether a firm has convertible debt outstanding,no-data,needs paid fundamentals depth,HLZ
Beta squared,Fama and MacBeth (1973),Journal of Political Economy,,risk/vol,Square of market beta,yes,OHLCV 33y + 1m intraday,HLZ
Book-to-market,Fama and French (2006),Journal of Financial Economics,,fundamental,Book value of equity plus deferred taxes to market value of equity,no-data,needs paid fundamentals depth,HLZ
Book-to-market ratio,"Brennan, Chordia and Subrahmanyam (1997)",Journal of Financial Economics,,fundamental,Book value of equity plus deferred taxes to market value of equity,no-data,needs paid fundamentals depth,HLZ
Cash flow,Da and Warachka (2009),Journal of Financial Economics,2009,positioning/flow,Aggregate earnings based on revisions to analyst earnings forecasts,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Cash flow-to-price,"Hou, Karolyi and Kho (2011)",Review of Financial Studies,,positioning/flow,Factor-mimicking portfolios based on cash flow-to-price of international equity returns,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Consensus recommendations,"Barber, Lehavy, McNichols and Trueman (2001)",Journal of Finance,2001,positioning/flow,Consensus recommendations measured by the average analyst recommendations,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Coskewness,Harvey and Siddique (2000),Journal of Finance,2000,risk/vol,Excess return on a portfolio which long stocks with low past coskewness,yes,OHLCV 33y + 1m intraday,HLZ
Debt offerings,Spiess and Affleck-Graves (1999),Journal of Financial Economics,1999,fundamental,Whether a firm makes straight and convertible debt offerings,no-data,needs paid fundamentals depth,HLZ
Downside risk,"Ang, Chen and Xing (2006)",Review of Financial Studies,2006,price,Correlation with index return conditional on index return being below a threshold value,yes,OHLCV 33y + 1m intraday,HLZ
Earnings,Chordia and Shivakumar (2006),Journal of Financial Economics,2006,positioning/flow,Return on a zero-investment portfolio long in stocks with high earnings surprises and short in stocks with low earnings surprises,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Earnings announcement return,"Brandt, Kishore, Santa-Clara and Venkatachalam (2008)",Working Paper,2008,price,Earnings announcement return capturing the market reaction to unexpected information contained in the firm's earnings release,yes,OHLCV 33y + 1m intraday,HLZ
Earnings expectations,"Hawkins, Chamberlin and Daniel (1984)",Financial Analyst Journal,1984,fundamental,Consensus earnings expectations,no-data,needs paid fundamentals depth,HLZ
Financial constraints,Li (2011),Review of Financial Studies,,other,Kaplan and Zingales (1997) financial constraint index,unknown,,HLZ
Financial intermediary's wealth,"Adrian, Etula and Muir (2012)",Journal of Finance,2012,macro,Intermediary's marginal value of wealth proxied by shocks to leverage of securities broker-dealers,partial,Yahoo proxies (FRED blocked),HLZ
Firm fundamental value,Frankel and Lee (1998),Journal of Accounting and Economics,1998,other,Firms' fundamental values estimated from I/B/E/S consensus forecasts and a residual income model,unknown,,HLZ
Fundamental analysis,Abarbanell and Bushee (1998),Accounting Review,1998,fundamental,"Investment signals constructed using a collection of variables that relate to contemporaneous changes in inventories, accounts receivables, gross margins, selling expenses, capital  expenditures, effective tax rates, inventory methods, audit qualific",no-data,needs paid fundamentals depth,HLZ
Idiosyncratic return volatility,"Ali, Hwang and Trombley (2003)",Journal of Financial Economics,2003,risk/vol,Residual variance obtained by regressing daily stock returns on market index return,yes,OHLCV 33y + 1m intraday,HLZ
Index option return,Vanden (2006),Review of Financial Studies,,options,Index option return and its square,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Index option returns,Vanden (2004),Review of Financial Studies,,options,Return on S\&P 500 index option,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Industrial production growth,"Chan, Chen and Hsieh (1985)",Journal of Financial Economics,,macro,Seasonally adjusted monthly growth rate of industrial production,partial,Yahoo proxies (FRED blocked),HLZ
Institutional holding,"Arbel, Carvell and Strebel (1983)",Financial Analyst Journal,1983,positioning/flow,Institutional concentration rankings from Standard and Poor's,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Interest rate,Campbell (1996),Journal of Political Economy,,price,Treasury bill rate less 1-year moving average,yes,OHLCV 33y + 1m intraday,HLZ
Investor sophistication,"Ali, Hwang and Trombley (2003)",Journal of Financial Economics,,positioning/flow,Number of analysts or institutional owners,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Labor income growth,Dittmar (2002),Journal of Finance,,other,Smoothed labor income growth rate,unknown,,HLZ
Liquidity,Liu (2006),Journal of Financial Economics,2006,microstructure,Turnover-adjusted number of days with zero trading over the prior 12 months,partial,"volume/range only, no L2",HLZ
Market illiquidity,Amihud (2002),Journal of Financial Markets,2002,price,Average over the year of the daily ratio of the stock's absolute return to its dollar trading volume,yes,OHLCV 33y + 1m intraday,HLZ
Market liquidity,Pastor and Stambaugh (2003),Journal of Political Economy,2003,price,Aggregated liquidity based on firm future excess stock return regressed on current signed excess return times trading volume,yes,OHLCV 33y + 1m intraday,HLZ
Market liquidity,Acharya and Pedersen (2005),Journal of Financial Economics,,microstructure,Value-weighted individual stock illiquidity as defined in Amihud (2002),partial,"volume/range only, no L2",HLZ
Market mispricing,Hirshleifer and Jiang (2010),Review of Financial Studies,2010,fundamental,Zero-investment portfolio constructed from repurchasing and issuing firms,no-data,needs paid fundamentals depth,HLZ
Market return,"Black, Jensen and Scholes (1972)",Studies in the Theory of Capital Markets,1972,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Carhart (1997),Journal of Finance,,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Black (1972),Journal of Business,1972,price,THEORY,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Kraus and Litzenberger (1976),Journal of Finance,1976,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Lintner(1965),Journal of Finance,1965,price,THEORY,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Sharpe (1964),Journal of Finance,1964,price,THEORY,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Heckerman (1972),Journal of Finance,1972,price,THEORY,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Fama and MacBeth (1973),Journal of Political Economy,1973,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Mossin (1966),Econometrica,1966,price,THEORY,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Jagannathan and Wang (1996),Journal of Finance,1996,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Ferson and Harvey (1991),Journal of Political Economy,1991,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,"Kumar, Sorescu, Boehme and Danielsen (2008)",Review of Financial Studies,,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Litzenberger and Ramaswamy (1979),Journal of Financial Economics,,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Acharya and Pedersen (2005),Journal of Financial Economics,2005,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,"Fogler, John and Tipton (1981)",Journal of Finance,1981,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market volatility innovation,"Kumar, Sorescu, Boehme and Danielsen (2008)",Review of Financial Studies,2008,risk/vol,Difference in monthly average of squared daily return differences,yes,OHLCV 33y + 1m intraday,HLZ
Momentum,"Hou, Karolyi and Kho (2011)",Review of Financial Studies,2011,price,Factor-mimicking portfolios based on momentum of international equity returns,yes,OHLCV 33y + 1m intraday,HLZ
Momentum,Carhart (1997),Journal of Finance,,positioning/flow,Return on a zero-investment portfolio long in past winners and short in past losers,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Momentum,"Brennan, Chordia and Subrahmanyam (1997)",Journal of Financial Economics,,price,Past cumulative stock return,yes,OHLCV 33y + 1m intraday,HLZ
Payout yield,"Boudoukh, Michaely, Richardson and Roberts (2007)",Journal of Finance,2007,positioning/flow,Return on a zero-investment portfolio long in high-yield stocks and short in low-yield stocks,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Predicted return signs,Holthausen and Larcker (1992),Journal of Accounting & Economics,1992,price,Return signs predicted by a logit model using financial ratios,yes,OHLCV 33y + 1m intraday,HLZ
Private information,"David, Hvidkjaer and O'Hara (2010)",Journal of Financial and Quantitative Analysis,2010,positioning/flow,"Return on a zero-investment portfolio long in high PIN stocks and short in low PIN stocks; PIN (private information) is the probability of information-
based trade",partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Return momentum,"Chopra, Lakonishok and Ritter (1992)",Journal of Financial Economics,1992,risk/vol,Size and beta adjusted mean prior five-year returns,yes,OHLCV 33y + 1m intraday,HLZ
Return-on-equity portfolio return,"Chen, Novy-Marx and Zhang (2011)",Working Paper,2011,price,Difference between returns of portfolios with high and low return on equity,yes,OHLCV 33y + 1m intraday,HLZ
Seasoned equity offerings,Spiess and Affleck-Graves (1995),Journal of Financial Economics,1995,other,Whether a firm makes seasoned equity offerings,unknown,,HLZ
Size,Daniel and Titman (1997),Journal of Finance,1997,other,Market value of equity,unknown,,HLZ
Size,Fama and French (1993),Journal of Financial Economics,,positioning/flow,Return on a zero-investment portfolio long in small stocks and short in large stocks,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Size,Fama and French (1992),Journal of Finance,1992,positioning/flow,Return on a zero-investment portfolio long in small stocks and short in large stocks,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Size,Carhart (1997),Journal of Finance,1997,positioning/flow,Return on a zero-investment portfolio long in small stocks and short in large stocks,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Size,"Brennan, Chordia and Subrahmanyam (1997)",Journal of Financial Economics,1997,other,Market value of equity,unknown,,HLZ
Systematic volatility,"Ang, Hodrick, Xing and Zhang (2006)",Journal of Finance,2006,risk/vol,Aggregate volatility relative to Fama and French (1992) three-factor model,yes,OHLCV 33y + 1m intraday,HLZ
Term structure,Fama and French (1993),Journal of Financial Economics,,price,Difference in return between long-term government bond and one-month Treasury bill,yes,OHLCV 33y + 1m intraday,HLZ
Trading volume,Lo and Wang (2006),Journal of Finance,,price,Return on a hedge portfolio constructed using trading volume and market returns,yes,OHLCV 33y + 1m intraday,HLZ
Transaction costs,Mayshar (1981),Journal of Finance,1981,other,THEORY,unknown,,HLZ
Transaction costs,"Ali, Hwang and Trombley (2003)",Journal of Financial Economics,,microstructure,"Bid-ask spread, volume, etc.",partial,"volume/range only, no L2",HLZ
Value,Carhart (1997),Journal of Finance,,positioning/flow,Return on a zero-investment portfolio long in growth stocks and short in value stocks,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Value,Daniel and Titman (1997),Journal of Finance,,fundamental,Book value of equity plus deferred taxes to market value of equity,no-data,needs paid fundamentals depth,HLZ
Value,Fama and French (1993),Journal of Financial Economics,,positioning/flow,Return on a zero-investment portfolio long in growth stocks and short in value stocks,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
