claim,source,journal,year,category,definition,testable,data_needed,meta
Change in net operating assets,"Hirshleifer, Hou, Teoh, Zhang (2004)",NA,2004,other,,unknown,,HXZ
Dollar trading volume,"Brennan, Chordia, and Subrahmanyam (1998)",NA,1998,microstructure,,partial,"volume/range only, no L2",HXZ
Disparing between long- and short-term earnings growth forecasts,Da and Warachka (2011),NA,2011,fundamental,,no-data,needs paid fundamentals depth,HXZ
Earnings Surprise,"Foster, Olsen and Shevliln (1984)",NA,1984,fundamental,,no-data,needs paid fundamentals depth,HXZ
Industry lead-lag effect in earnings surprises,Hou (2007),NA,2007,fundamental,,no-data,needs paid fundamentals depth,HXZ
Enterprise book-to-price,"Penman, Richardson, and Tuna (2007)",NA,2007,price,,yes,OHLCV 33y + 1m intraday,HXZ
Earnings-to-price,Basu (1983),NA,1983,price,,yes,OHLCV 33y + 1m intraday,HXZ
Equity Duration,"Dechow, Sloan and Soliman (2004)",NA,2004,other,,unknown,,HXZ
Long-term growth forecasts,La Porta (1996),NA,1996,macro,,partial,Yahoo proxies (FRED blocked),HXZ
Dispersion of analysts' earnings forecasts,"Diether, Malloy and Scherbina (2002)",NA,2002,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Corporate governance,"Gompers, Ishii and Metrick (2003)",NA,2003,other,,unknown,,HXZ
Gross profits-to-assets,Novy-Marx (2013),NA,2013,other,,unknown,,HXZ
Growth in advertising expense,Lou (2014),NA,2014,other,,unknown,,HXZ
Two-year investment growth,Anderson and Garcia-Feijoo (2006),NA,2006,fundamental,,no-data,needs paid fundamentals depth,HXZ
Three-year investment growth,Anderson and Garcia-Feijoo (2006),NA,2006,fundamental,,no-data,needs paid fundamentals depth,HXZ
Industry concentration (sales),Hou and Robinson (2006),NA,2006,fundamental,,no-data,needs paid fundamentals depth,HXZ
Industry concentration (book equity),Hou and Robinson (2006),NA,2006,fundamental,,no-data,needs paid fundamentals depth,HXZ
Hiring rate,"Belo, Lin and Bazdresch (2014)",NA,2014,other,,unknown,,HXZ
Total volatility,"Ang, Hodrick, Xing, and Zhang (2006)",NA,2006,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Idiosyncratic volatility per the FF 3-factor model,"Ang, Hodrick, Xing, and Zhang (2006)",NA,2006,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Idiosyncratic volatility,"Ali, Hwang, and Trombley (2003)",NA,2003,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
